Id,Category
1,8
2,7
3,0
4,3
5,3
6,6
7,6
8,3
9,6
10,2
11,5
12,7
13,2
14,1
15,8
16,0
17,2
18,0
19,3
20,9
21,2
22,9
23,0
24,6
25,9
26,4
27,3
28,2
29,9
30,7
31,4
32,1
33,3
34,1
35,5
36,1
37,9
38,5
39,9
40,2
41,2
42,1
43,6
44,2
45,3
46,2
47,5
48,3
49,2
50,3
51,6
52,5
53,3
54,1
55,1
56,9
57,1
58,2
59,2
60,3
61,5
62,9
63,2
64,6
65,5
66,2
67,0
68,3
69,7
70,4
71,3
72,1
73,3
74,6
75,4
76,5
77,2
78,9
79,4
80,8
81,4
82,1
83,4
84,0
85,8
86,4
87,5
88,1
89,5
90,8
91,6
92,2
93,8
94,5
95,0
96,1
97,2
98,2
99,4
100,7
101,1
102,7
103,8
104,3
105,4
106,3
107,9
108,2
109,2
110,0
111,0
112,1
113,6
114,8
115,0
116,4
117,5
118,4
119,9
120,8
121,9
122,5
123,7
124,7
125,0
126,2
127,3
128,8
129,9
130,6
131,7
132,2
133,3
134,3
135,1
136,9
137,1
138,9
139,4
140,2
141,5
142,8
143,0
144,9
145,8
146,2
147,1
148,9
149,4
150,3
151,2
152,3
153,2
154,6
155,2
156,1
157,7
158,8
159,9
160,0
161,6
162,1
163,0
164,7
165,8
166,7
167,0
168,9
169,3
170,0
171,9
172,8
173,1
174,1
175,7
176,9
177,0
178,2
179,5
180,9
181,6
182,2
183,4
184,8
185,9
186,2
187,2
188,0
189,7
190,3
191,0
192,5
193,2
194,4
195,8
196,0
197,3
198,3
199,5
200,6
201,0
202,9
203,5
204,2
205,7
206,4
207,7
208,5
209,9
210,7
211,9
212,7
213,5
214,2
215,9
216,7
217,0
218,0
219,0
220,0
221,0
222,7
223,4
224,1
225,5
226,8
227,6
228,8
229,0
230,3
231,0
232,3
233,6
234,5
235,1
236,9
237,5
238,2
239,5
240,2
241,2
242,8
243,7
244,9
245,6
246,2
247,7
248,6
249,9
250,7
251,4
252,2
253,5
254,8
255,6
256,3
257,0
258,0
259,9
260,1
261,1
262,5
263,9
264,8
265,1
266,2
267,3
268,8
269,3
270,0
271,3
272,2
273,6
274,1
275,9
276,0
277,3
278,5
279,1
280,8
281,4
282,1
283,2
284,8
285,4
286,0
287,4
288,8
289,0
290,3
291,4
292,2
293,0
294,7
295,8
296,2
297,4
298,2
299,5
300,1
301,0
302,7
303,9
304,2
305,6
306,2
307,5
308,8
309,6
310,9
311,4
312,9
313,5
314,9
315,6
316,0
317,0
318,8
319,8
320,8
321,2
322,3
323,9
324,9
325,8
326,9
327,7
328,2
329,2
330,3
331,5
332,5
333,7
334,2
